,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,last_trade_conditions,last_trade_id,last_trade_price,last_trade_size,last_trade_exchange,last_trade_timestamp,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
182,X:MOBUSD,0.03425,4.743110372524582,0.72451,0.77141,0.7128,0.75635,3121.98632684,0.7439,[2],1365931241,0.75635,2.65947749,2.0,1684276624420,0.75635,0.75635,0.75635,0.75635,5.31895498,0.71625,0.74715,0.70356,0.7221,997.21969033,0.727
183,X:MKRUSD,-3.6299999999999955,-0.5704407951598955,636.3,643.93,623.25,632.72,1864.47049846,629.7025,[1],20783387,632.72,0.2,1.0,1684276940660,632.53,632.72,632.53,632.72,1.658179,626.51,646.04,618.8,636.35,2179.010342600022,635.4291
184,X:CRPTUSD,0.0004000000000000045,0.6535947712418375,0.0616,0.0645,0.0608,0.0616,327280.5000000008,0.06254,[2],2562929,0.0616,238.9,1.0,1684275095504,0.0616,0.0616,0.0616,0.0616,238.9,0.0619,0.0628,0.06,0.0612,261449.10000000006,0.0617
185,X:LSKUSD,-0.007489000000000079,-0.8722724742068807,0.855908,0.855908,0.840928,0.851073,4690.38924653,0.8507,[1],57b1fdb0-6dcc-4b59-bdda-96a3387412e9,0.851073,73.00445019,23.0,1684272690512,0.851023,0.851073,0.851023,0.851073,506.6,0.838296,0.860064,0.837136,0.858562,30954.70040616,0.8512
186,X:ANKRUSD,-0.00051,-1.8937987374675087,0.02697,0.02698,0.02605,0.02642,12450567.798481463,0.02641,[2],19611966,0.02642,3025.0,1.0,1684276881918,0.02642,0.02642,0.02642,0.02642,3025.0,0.02563,0.02877,0.02519,0.02693,46496239.21378117,0.0274
187,X:USDTUSD,-0.000280000000000058,-0.02799328161241882,1.00023,1.0015,0.99974,0.99996,164188746.09068945,1.0002,[2],f5541e08-f364-4fe0-8b5d-f53fef046d65,0.99996,111.650049,23.0,1684277041081,0.99996,1.00013,0.99995,1.00013,66560.09142197,1.00047,1.00061,0.99986,1.00024,170028444.32507175,1.0003
188,X:IOTXUSD,0.00024000000000000063,0.9230769230769256,0.02603,0.02686,0.02539,0.02624,2822997.0,0.02609,[2],12890686,0.02624,15.0,1.0,1684277029827,0.02623,0.02624,0.02622,0.02624,9729.0,0.02584,0.02777,0.02553,0.026,6812262.0,0.0268
189,X:APEUSD,0.06499999999999995,1.9310754604872236,3.365,3.46,3.329,3.431,397727.2493502389,3.4147,[2],15739501,3.431,107.8,1.0,1684277035506,3.43,3.431,3.43,3.431,207.8,3.309,3.4219,3.278,3.366,490165.7849682997,3.3619
190,X:CLOUSD,-1.1599999999999848e-05,-0.8152364888607667,0.0014263,0.0014304,0.0014041,0.0014113,13948180.98659424,0.001418,[2],1365886860,0.0014113,10000.0,2.0,1684277008658,0.0014113,0.0014113,0.0014113,0.0014113,20000.0,0.0014137,0.0014626,0.0014129,0.0014229,6704757.610417521,0.0014
191,X:CTSIUSD,0.0012999999999999956,0.7615700058582283,0.1706,0.1802,0.1674,0.172,2012223.0621406888,0.1729,[2],9748639,0.172,7.0,1.0,1684276946825,0.172,0.172,0.172,0.172,7.0,0.1684,0.1772,0.1639,0.1707,1911992.7084950765,0.1722
