,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
24,C:CADJPY,0.4477070000000083,0.4307278337063748,103.979265,104.425661,103.941971,104.389678,98,104.1584,104.503187,104.389678,1686512876000,48,104.329,104.389678,104.329,104.389678,2,103.979265,103.987021,103.941971,103.941971,116,103.9629
25,C:ZARKES,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,7.355673,7.355673,7.355673,7.355673,1,7.3557
26,C:EURDZD,0.0,0.0,144.8811,146.031,144.8811,146.031,2,145.4561,147.031,146.031,1686469770000,48,144.8811,146.031,144.8811,146.031,2,144.8811,146.031,144.8811,146.031,4,145.4561
27,C:GBPDJF,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,218.11611,218.11611,218.11611,218.11611,1,218.1161
28,C:GBPCNY,-0.009999999999999787,-0.11174394188599623,8.921077,8.939031,8.88319,8.939031,3,8.9144,8.97085,8.939031,1686475076000,48,8.939031,8.939031,8.939031,8.939031,1,8.921077,8.951831,8.88319,8.949031,5,8.9252
29,C:GBPETB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,67.95267,67.95267,67.95267,67.95267,1,67.9527
30,C:INRHKD,0.0011692999999999981,1.2473772062057555,0.09362163,0.09491044,0.09362163,0.09490999,44,0.09486,0.09504591,0.09490999,1686512801000,48,0.09490999,0.09490999,0.09490999,0.09490999,1,0.09374069,0.09374069,0.09374069,0.09374069,1,0.0937
31,C:RONCHF,3.610000000001112e-05,0.018442822906502614,0.1955875,0.1957762,0.1954783,0.1957762,10,0.1956,0.1969551,0.1957762,1686512802000,48,0.1957605,0.1957762,0.1957605,0.1957762,2,0.1957401,0.1957401,0.1957401,0.1957401,1,0.1957
32,C:EURUSD,-0.0005999999999999339,-0.05580357142856529,1.07449,1.0746,1.07449,1.0746,3,1.0746,1.07549,1.0746,1686512211000,48,1.0746,1.0746,1.0746,1.0746,1,1.0758,1.0758,1.0752,1.0752,2,1.0755
33,C:GBPAMD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,448.58941,448.58941,448.58941,448.58941,1,448.5894
34,C:USDMAD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9.756909,9.756909,9.756909,9.756909,1,9.7569
35,C:DKKINR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,11.891182,11.891182,11.891182,11.891182,1,11.8912
36,C:CNYSGD,-8.350000000001412e-05,-0.04432720591553948,0.1884101,0.1884171,0.188107,0.1882884,21,0.1883,0.1887308,0.1882884,1686512801000,48,0.1882884,0.1882884,0.1882884,0.1882884,1,0.1881877,0.1883719,0.1881877,0.1883719,2,0.1883
37,C:DKKJPY,-0.043600000000001415,-0.21683343611371528,20.034,20.064,20.034,20.064,21,20.0589,20.16,20.064,1686512741000,48,20.064,20.064,20.064,20.064,1,20.0985,20.1912,20.057,20.1076,57467,20.139
38,C:ZARARS,0.0,0.0,13.080019,13.080019,13.060443,13.060443,2,13.0702,13.068391,13.060443,1686469769000,48,13.080019,13.080019,13.060443,13.060443,2,13.060443,13.080019,13.060443,13.060443,3,13.067
39,C:BRLHKD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.6053193,1.6074722,1.6053193,1.6074722,2,1.6064
40,C:SEKCAD,0.0003930200000000078,0.320704528329668,0.12319021,0.12319021,0.12290718,0.12294196,5,0.123,0.12335662,0.12294196,1686512050000,48,0.12294196,0.12294196,0.12294196,0.12294196,1,0.12254894,0.12319021,0.12254894,0.12254894,3,0.1228
41,C:JPYKRW,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9.226006,9.226006,9.226006,9.226006,1,9.226
42,C:USDMUR,-0.20979499999999973,-0.4757256235827658,44.556314,44.556314,43.890205,43.890205,2,44.2233,46.676884,43.890205,1686469767000,48,44.556314,44.556314,43.890205,43.890205,2,44.556314,44.556314,43.890205,44.1,5,44.2406
43,C:GBPLAK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,22497.0859375,22497.0859375,22497.0859375,22497.0859375,1,22497.0859
44,C:ARSGBP,-1.0530000000000348e-05,-0.32295263974680105,0.00324838,0.00326054,0.00324838,0.00325001,16,0.00325,0.00325199,0.00325001,1686512843000,48,0.00325001,0.00325001,0.00325001,0.00325001,1,0.00326054,0.00326054,0.00326054,0.00326054,1,0.0033
45,C:USDCZK,-0.03689999999999927,-0.16760233280645004,22.028,22.028,21.8848,21.9795,14,21.9465,22.1376,21.9795,1686512801000,48,21.98,21.98,21.9795,21.9795,2,22.028,22.028,22.0164,22.0164,4,22.0222
46,C:CHFEUR,-0.0035302999999999862,-0.3427921357931858,1.0297601,1.0297601,1.0263358,1.0263358,12,1.0284,1.0350467,1.0263358,1686512261000,48,1.0263358,1.0263358,1.0263358,1.0263358,1,1.0297601,1.0298661,1.0297601,1.0298661,4,1.0298
