,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
373,C:CDFGBP,-3.1799999999999797e-06,-0.9079488350845077,0.0003497,0.0003497,0.00034706,0.00034706,3,0.0003479,0.00035414,0.00034706,1684270800000,48,0.00034706,0.00034706,0.00034706,0.00034706,1,0.00035012,0.00035024,0.00035012,0.00035024,3,0.0004
374,C:HKDJPY,0.04574000000000211,0.2635717253345333,17.35365,17.43798,17.30658,17.3979,55897,17.3651,17.4011,17.39965,1684277039000,48,17.3968,17.3989,17.395,17.3989,26,17.31815,17.39125,17.302,17.35391,57280,17.3528
375,C:EURGTQ,0.0129999999999999,0.15691007845503804,8.298,8.298,8.298,8.298,2,8.298,8.698,8.298,1684270800000,48,8.298,8.298,8.298,8.298,1,8.285,8.285,8.285,8.285,2,8.285
376,C:EURKRW,5.75,0.39642869454307283,1450.87,1459.26,1448.89,1456.2,550,1455.1852,1459.52,1456.2,1684276728000,48,1457.14,1457.14,1456.2,1456.2,2,1455.07,1455.41,1448.83,1450.45,384,1452.5374
377,C:DKKNZD,0.00031899999999998596,0.13640814685897193,0.233865,0.2344178,0.233529,0.2341851,46840,0.234,0.234249,0.234176,1684277035000,48,0.2340713,0.234191,0.2340713,0.2341851,16,0.235199,0.2354206,0.2336634,0.233857,46914,0.2347
378,C:UZSUSD,2.0000000000003197e-08,0.022904260192399446,8.737e-05,8.737e-05,8.734e-05,8.734e-05,3,8.735e-05,8.783e-05,8.734e-05,1684270800000,48,8.734e-05,8.734e-05,8.734e-05,8.734e-05,1,8.656e-05,8.732e-05,8.656e-05,8.732e-05,3,0.0001
379,C:CHFIDR,70.41600000000108,0.42621789663623477,16521.87,16616.333,16432.09,16589.877,7334,16564.7306,16607.163,16591.543,1684277033000,48,16589.877,16589.877,16589.877,16589.877,1,16409.189,16547.640625,16406.6328125,16521.127,7029,16511.5497
380,C:JMDUSD,-1.4799999999998842e-06,-0.02314181397421383,0.00640018,0.00640018,0.00639387,0.00639387,3,0.006396,0.00653186,0.00639387,1684270800000,48,0.00639387,0.00639387,0.00639387,0.00639387,1,0.00636405,0.00639535,0.00636405,0.00639535,3,0.0064
381,C:NOKILS,-0.00487470000000001,-1.4105859196631312,0.3456059,0.3458872,0.3394867,0.3407232,1735,0.3432,0.3409035,0.3407051,1684277005000,48,0.3407232,0.3407232,0.3407232,0.3407232,1,0.3440412,0.3458611,0.3410787,0.3455798,1826,0.344
382,C:THBEUR,-0.00021741999999999942,-0.7989968991188302,0.02724128,0.02724424,0.02692732,0.0269942,78,0.02704,0.0270453,0.0269942,1684276698000,48,0.0269942,0.0269942,0.0269942,0.0269942,1,0.02640264,0.02727248,0.02640264,0.02721162,63,0.0272
383,C:USDLAK,15.0,0.08559201141226819,17308.399,17540.0,17308.399,17540.0,5,17448.6726,17590.0,17540.0,1684270800000,48,17540.0,17540.0,17540.0,17540.0,1,17377.644,17536.0,17319.4609375,17525.0,5,17456.621
384,C:EURNIO,0.060000000000002274,0.15271061338763622,39.35,39.35,39.35,39.35,2,39.35,40.35,39.35,1684270800000,48,39.35,39.35,39.35,39.35,1,39.29,39.29,39.29,39.29,2,39.29
385,C:HUFCHF,4.799999999999683e-06,0.18213692143067348,0.00263472,0.00264549,0.00262587,0.00264076,55921,0.002637,0.0026433,0.00264018,1684277039000,48,0.00264098,0.0026416,0.00263931,0.00264076,12,0.00263074,0.00264525,0.002626,0.00263538,46403,0.0026
386,C:SZLCHF,-0.0002665500000000043,-0.571559311581424,0.04657819,0.04657819,0.04636903,0.04636903,3,0.04644,0.04727019,0.04636903,1684270800000,48,0.04636903,0.04636903,0.04636903,0.04636903,1,0.04608328,0.04663558,0.04608328,0.04663558,3,0.0465
387,C:EURCUP,0.04099999999999682,0.1572266748475546,26.118,26.118,26.118,26.118,2,26.118,26.178,26.118,1684270800000,48,26.118,26.118,26.118,26.118,1,26.077,26.077,26.077,26.077,2,26.077
388,C:EGPPKR,0.01389999999999958,0.15106564312991036,9.215198,9.215198,9.215198,9.215198,3,9.2152,9.260513,9.215198,1684271233000,48,9.215198,9.215198,9.215198,9.215198,3,9.554171,9.554171,9.201298,9.201298,5,9.273
389,C:NOKPLN,-0.005979999999999985,-1.5296464930679863,0.39091,0.3911,0.38438,0.38497,28138,0.3875,0.38548,0.38496,1684277004000,48,0.38497,0.38498,0.38496,0.38497,6,0.38953,0.39107,0.38724,0.39094,28781,0.3894
390,C:HKDZAR,0.009644999999999904,0.39832920618295736,2.424789,2.445025,2.421958,2.432559,119839,2.4331,2.440096,2.431009,1684277040000,48,2.4312,2.432558,2.430665,2.43119,24,2.44617,2.44998,2.420561,2.421364,115303,2.4319
391,C:INRKRW,0.06992300000000284,0.430758721950847,16.224561,16.31452,16.195682,16.302444,1575,16.2728,16.326746,16.302444,1684276768000,48,16.302444,16.302444,16.302444,16.302444,1,16.319964,16.326493,16.202529,16.232521,1586,16.252
392,C:NZDNOK,0.061799999999999855,0.9343816147565748,6.614,6.6873,6.6093,6.6753,77873,6.6487,6.6813,6.6758,1684277036000,48,6.6692,6.6754,6.6692,6.6753,45,6.6122,6.6571,6.5784,6.614,77243,6.6208
393,C:NZDJPY,0.01975299999999436,0.023259072604378348,84.931,85.222,84.62,84.94,171182,84.9368,84.978488,84.945753,1684277040000,48,84.935,84.943,84.894842,84.941,89,84.134,84.96,83.857,84.926,164890,84.594
394,C:MYRTWD,0.010008000000000017,0.14644099224014945,6.835575,6.862226,6.831433,6.849208,13795,6.848,6.850831,6.84416,1684277038000,48,6.848763,6.85321,6.848763,6.849208,6,6.863733,6.868412,6.83373,6.834152,14192,6.8489
395,C:USDSEK,0.058910000000000906,0.5695424807534175,10.34329,10.42512,10.19796,10.40276,196082,10.3715,10.4113,10.4023,1684277034000,48,10.40244,10.4046,10.39926,10.4027,25,10.3841,10.40731,10.26902,10.34339,184225,10.3699
396,C:BAMGBP,-0.00047559999999996494,-0.10748598286506304,0.4417718,0.4420007,0.4417718,0.4420007,3,0.4419,0.4465438,0.4420007,1684270800000,48,0.4420007,0.4420007,0.4420007,0.4420007,1,0.4434149,0.4434149,0.4424763,0.4424763,3,0.4428
397,C:GBPMDL,0.025133000000000294,0.11473758200669423,21.938314,21.938314,21.9299,21.9299,3,21.9327,22.620425,21.9299,1684270800000,48,21.9299,21.9299,21.9299,21.9299,1,21.925855,21.925855,21.904767,21.904767,3,21.9118
398,C:PENEUR,-7.879999999998999e-05,-0.03201091946084755,0.2460872,0.2460872,0.2460872,0.2460872,2,0.2461,0.2561738,0.2460872,1684270800000,48,0.2460872,0.2460872,0.2460872,0.2460872,1,0.246166,0.246166,0.246166,0.246166,2,0.2462
399,C:KYDBMD,0.005035299999999854,0.42188277368002575,1.1966906,1.1985659,1.1966906,1.1985659,4,1.1981,1.2051848,1.1985659,1684270800000,48,1.1985659,1.1985659,1.1985659,1.1985659,2,1.1935306,1.1935306,1.1935306,1.1935306,2,1.1935
400,C:GBPLAK,55.58637499999895,0.25668303714577806,21688.44,21711.234375,21688.44,21711.234375,3,21703.6363,22286.671,21711.234375,1684270800000,48,21711.234375,21711.234375,21711.234375,21711.234375,1,21638.148,21655.648,21638.148,21655.648,3,21649.8147
401,C:EURUSD,-0.0009999999999998899,-0.09197939661514808,1.08734,1.09046,1.0853,1.08624,156672,1.0877,1.08626,1.0862,1684277018000,48,1.08623,1.0863,1.0861,1.08624,17,1.08527,1.0891,1.0846,1.0872,139450,1.087
402,C:TNDZAR,0.004690000000000083,0.07561218462141807,6.207394,6.207394,6.207394,6.207394,1,6.2074,6.215473,6.207394,1684270801000,48,6.207394,6.207394,6.207394,6.207394,1,6.202704,6.202704,6.202704,6.202704,2,6.2027
403,C:ZARUGX,-0.45822999999998615,-0.23717700206570969,193.4328,193.4328,192.74347,192.74347,3,192.9732,197.06939,192.74347,1684270800000,48,192.74347,192.74347,192.74347,192.74347,1,192.80039,193.2017,192.80039,193.2017,3,193.0679
404,C:USDSDG,-1.0,-0.1669449081803005,598.0,598.0,598.0,598.0,3,598.0,603.0,598.0,1684271056000,48,598.0,598.0,598.0,598.0,3,597.0,599.0,597.0,599.0,4,598.0
405,C:EURSAR,-0.0045000000000001705,-0.11048367296833218,4.074,4.0843,4.0656,4.0685,196,4.0738,4.0785,4.0685,1684276728000,48,4.0683,4.0685,4.0683,4.0685,2,4.064,4.0774,4.064,4.073,112,4.0721
406,C:KZTGBP,-1.6300000000000776e-06,-0.09246023642593411,0.00176017,0.00176129,0.00176017,0.00176129,3,0.001761,0.00178297,0.00176129,1684270800000,48,0.00176129,0.00176129,0.00176129,0.00176129,1,0.0017727,0.0017727,0.00176292,0.00176292,3,0.0018
407,C:EURPAB,0.0017000000000000348,0.1599548362815238,1.0645,1.0645,1.0645,1.0645,2,1.0645,1.1145,1.0645,1684270800000,48,1.0645,1.0645,1.0645,1.0645,1,1.0628,1.0628,1.0628,1.0628,2,1.0628
408,C:ARSJPY,0.00040799999999996395,0.06918285384358468,0.589741,0.5913884,0.5883439,0.5900673,1707,0.5896,0.5901706,0.5901495,1684277012000,48,0.5900673,0.5900673,0.5900673,0.5900673,1,0.5901788,0.5946192,0.5894121,0.5897415,1812,0.5914
409,C:EURPYG,12.0,0.15560165975103735,7724.0,7724.0,7724.0,7724.0,3,7724.0,7984.0,7724.0,1684270800000,48,7724.0,7724.0,7724.0,7724.0,2,7712.0,7712.0,7712.0,7712.0,2,7712.0
410,C:BOBUSD,6.014999999998105e-05,0.042682795725235374,0.14101335,0.14101335,0.14098344,0.14098344,3,0.141,0.14867904,0.14098344,1684270800000,48,0.14098344,0.14098344,0.14098344,0.14098344,1,0.14029796,0.14092329,0.14029796,0.14092329,3,0.1407
411,C:MURUSD,0.00013385999999999953,0.6249924128741132,0.02141328,0.02156102,0.02129925,0.02155172,50,0.02152,0.02252252,0.02155172,1684274410000,48,0.02143623,0.02155172,0.02143623,0.02155172,2,0.02145923,0.02157497,0.02129925,0.02141786,41,0.0215
412,C:GBPBHD,-0.001657799999999987,-0.3535777835932459,0.4688742,0.4692632,0.466581,0.4672065,52,0.4682,0.4741025,0.4672065,1684274402000,48,0.4672065,0.4672065,0.4672065,0.4672065,1,0.4567122,0.4688742,0.4567122,0.4688643,33,0.4675
413,C:GBPINR,-0.3067649999999986,-0.2977138990635302,103.035833,103.167639,102.546842,102.733436,23720,102.8969,102.73406,102.733436,1684276442000,48,102.733436,102.733436,102.733436,102.733436,1,102.332217,103.211202,102.322027,103.040201,23145,102.7703
414,C:USDCRC,-0.6784300000000485,-0.1299195245033203,521.79905,521.79905,521.51406,521.51406,3,521.6091,547.21345,521.51406,1684270800000,48,521.51406,521.51406,521.51406,521.51406,1,524.81492,524.81492,522.19249,522.19249,3,523.0666
415,C:USDSVC,-0.0017750000000003041,-0.020805648633975,8.526006,8.529562,8.526006,8.529562,3,8.5284,8.970129,8.529562,1684270800000,48,8.529562,8.529562,8.529562,8.529562,1,8.570428,8.570428,8.531337,8.531337,3,8.5444
416,C:KRWTHB,8.359000000000144e-05,0.3308481134454055,0.02525458,0.02541499,0.02522967,0.02534896,304,0.02533,0.02539695,0.02534896,1684276698000,48,0.02534896,0.02534896,0.02534896,0.02534896,1,0.0249044,0.02528193,0.0249044,0.02526537,213,0.0252
417,C:CHFKRW,5.461099999999988,0.3662196244791969,1490.558,1501.2889,1487.6466,1496.6867,1711,1495.6941,1498.9012,1496.6701,1684277003000,48,1496.6867,1496.6867,1496.6867,1496.6867,1,1493.2213,1496.2454,1485.9041,1491.209,1792,1491.3727
418,C:BWPEUR,-0.0001045500000000088,-0.15494310749925944,0.06737183,0.06737183,0.06737183,0.06737183,2,0.06737,0.0688563,0.06737183,1684270800000,48,0.06737183,0.06737183,0.06737183,0.06737183,1,0.06747638,0.06747638,0.06747638,0.06747638,2,0.0675
419,C:PENCAD,-0.0027801000000000076,-0.7542770446752011,0.3685781,0.3687482,0.36481,0.3658225,154499,0.3679,0.3659338,0.365798,1684277038000,48,0.3658225,0.3658252,0.3657438,0.365798,16,0.371574,0.3718975,0.3671375,0.3685781,151972,0.3687
420,C:SGDNZD,-0.0009699999999999154,-0.08094328129041244,1.19841,1.2003811,1.1956,1.19742,38772,1.1977,1.19785,1.1974,1684277035000,48,1.1974,1.1974326,1.1974,1.19742,11,1.20556,1.20674,1.197603,1.19837,38110,1.2021
421,C:USDSCR,0.7353740000000002,5.962439841403548,12.334397,13.17532,12.26674,13.068815,63,12.5973,14.910012,13.068815,1684275414000,48,13.068815,13.068815,13.068815,13.068815,1,13.188,13.188,12.258628,12.333441,57,12.4388
422,C:SEKDKK,-0.0031200000000000117,-0.47156978325927446,0.66161,0.66243,0.65501,0.6584,34769,0.6599,0.6589,0.6585,1684277036000,48,0.6584,0.65847,0.65825,0.6584,15,0.66049,0.66218,0.6578,0.66162,35570,0.6605
423,C:GBPBAM,0.002406999999999826,0.10759874207369312,2.240582,2.240582,2.239422,2.239422,3,2.2398,2.26244,2.239422,1684270800000,48,2.239422,2.239422,2.239422,2.239422,1,2.23228,2.237015,2.23228,2.237015,3,2.2354
424,C:AUDDKK,-0.02970000000000006,-0.6472139292640952,4.5876,4.5921,4.5549,4.5612,49299,4.5696,4.5626,4.5592,1684277036000,48,4.5611,4.5611,4.5584,4.5607,19,4.5606,4.5934,4.5554,4.5889,49480,4.5785
425,C:LYDUSD,-0.0010148999999999853,-0.4861165328956027,0.2089077,0.2089077,0.2077622,0.2077622,3,0.2081,0.2101669,0.2077622,1684270800000,48,0.2077622,0.2077622,0.2077622,0.2077622,1,0.207839,0.2087771,0.207839,0.2087771,3,0.2085
426,C:EURILS,-0.008000000000000007,-0.20124267350891772,3.9749,3.9928,3.9655,3.9673,1576,3.9802,3.9738,3.9673,1684270800000,48,3.9673,3.9673,3.9673,3.9673,1,3.9886,3.9888,3.9507,3.9753,1590,3.971
427,C:GBPQAR,-0.01576599999999928,-0.34582949285504955,4.543639,4.543639,4.543128,4.543128,2,4.5434,4.546873,4.543128,1684271159000,48,4.543639,4.543639,4.543128,4.543128,2,4.553587,4.558894,4.553587,4.558894,4,4.5575
428,C:CNYGBP,3.649999999993936e-06,0.003179933625632195,0.11480035,0.11515835,0.1143066,0.11478592,2396,0.1147,0.11481882,0.11478592,1684274615000,48,0.11479136,0.11479136,0.11478592,0.11478592,6,0.1154254,0.11543546,0.11464201,0.11478227,2103,0.1152
429,C:KRWIDR,-0.00015199999999992997,-0.0013723150250251573,11.076549,11.094716,11.02,11.073878,6735,11.0711,11.08645,11.076022,1684277033000,48,11.073878,11.073878,11.073878,11.073878,1,10.98879,11.099314,10.98879,11.076174,6394,11.0686
430,C:GNFUSD,0.0,0.0,0.00011528,0.00011528,0.00011522,0.00011522,3,0.0001152,0.00011745,0.00011522,1684270800000,48,0.00011522,0.00011522,0.00011522,0.00011522,1,0.00011468,0.00011522,0.00011468,0.00011522,3,0.0001
431,C:GBPCNY,0.0027789999999985326,0.03195180210346719,8.698186,8.727139,8.653267,8.700254,140,8.7041,8.72333,8.700254,1684276728000,48,8.699844,8.700254,8.699844,8.700254,2,8.649768,8.700746,8.63934,8.697475,107,8.6817
432,C:NZDPLN,-0.015390000000000015,-0.594941259698239,2.58672,2.59037,2.5665,2.57131,47847,2.5779,2.57403,2.57142,1684277035000,48,2.5699,2.57142,2.5699,2.57131,23,2.57671,2.58681,2.5718,2.58681,46602,2.5793
433,C:EURBMD,0.0017000000000000348,0.15671091445428048,1.0865,1.0865,1.0865,1.0865,2,1.0865,1.0925,1.0865,1684270800000,48,1.0865,1.0865,1.0865,1.0865,1,1.0848,1.0848,1.0848,1.0848,2,1.0848
434,C:KYDCAD,0.001653099999999963,0.10232625566930617,1.6155189,1.6198274,1.6054596,1.61728,154969,1.6153,1.617772,1.617172,1684277038000,48,1.61728,1.617292,1.6169319,1.617172,16,1.631549,1.6329692,1.6120981,1.6155189,152301,1.6176
435,C:BHDUSD,-0.0003110000000003943,-0.011809222205149895,2.632994,2.634018,2.632503,2.633224,52,2.6333,2.672091,2.633224,1684274402000,48,2.633224,2.633224,2.633224,2.633224,1,2.559656,2.634019,2.559656,2.633535,33,2.6312
436,C:USDMYR,-0.0030000000000001137,-0.06674082313682121,4.494,4.5025,4.49,4.492,59,4.4967,4.5025,4.492,1684270800000,48,4.492,4.492,4.492,4.492,1,4.485,4.5015,4.485,4.495,90,4.495
437,C:XAGSAR,-1.2800000000000011,-1.417497231450721,90.3,90.35,88.65,89.02,1103,89.4945,89.04,89.02,1684276981000,48,89.04,89.04,89.04,89.04,1,89.26,90.76,89.13,90.3,1109,90.1612
438,C:DKKPKR,0.016581999999999653,0.03984288036296872,41.616775,41.691236,41.072669,41.634816,106315,41.3491,41.641133,41.635059,1684277037000,48,41.635666,41.638096,41.634816,41.635666,14,41.438747,43.19413,41.420397,41.618477,101803,42.0057
439,C:GBPCZK,-0.010600000000000165,-0.0391141024789491,27.1027,27.2607,26.9106,27.1341,43881,27.1578,27.2876,27.0896,1684277014000,48,27.133,27.1338,27.0886,27.0886,14,26.9966,27.2169,26.9765,27.1002,41658,27.092
440,C:AUDPKR,-1.0373900000000162,-0.54448196534377,189.55358,189.55358,189.4905,189.4905,2,189.522,190.42231,189.4905,1684271233000,48,189.55358,189.55358,189.4905,189.4905,2,197.28659,197.28659,190.52789,190.52789,5,191.8865
441,C:MMKGBP,-9.899999999999753e-07,-0.26250198865142266,0.00037653,0.00037653,0.00037615,0.00037615,3,0.0003763,0.00038345,0.00037615,1684270800000,48,0.00037615,0.00037615,0.00037615,0.00037615,1,0.00037699,0.00037714,0.00037699,0.00037714,3,0.0004
442,C:EURUZS,19.0,0.15341138473960436,12404.0,12404.0,12404.0,12404.0,3,12404.0,12474.0,12404.0,1684270800000,48,12404.0,12404.0,12404.0,12404.0,2,12385.0,12385.0,12385.0,12385.0,2,12385.0
443,C:EURMUR,-0.37999999999999545,-0.7885453413571186,48.21,48.24,47.79,47.81,63,47.9279,50.81,47.81,1684276686000,48,47.81,47.81,47.81,47.81,1,48.6223,48.6223,47.79,48.19,35,48.1692
444,C:BRLSGD,-0.0020355000000000234,-0.74529972362947,0.2730219,0.2734555,0.2702795,0.2710761,598,0.2721,0.2714805,0.2710761,1684276686000,48,0.2710761,0.2710761,0.2710761,0.2710761,1,0.2718142,0.2732705,0.2688734,0.2731116,684,0.2722
445,C:ARSPEN,-0.00011910999999999866,-0.7609326168006886,0.01554743,0.01554743,0.01553405,0.01553405,3,0.01554,0.01617075,0.01553405,1684270800000,48,0.01553405,0.01553405,0.01553405,0.01553405,1,0.01565316,0.01565316,0.01565316,0.01565316,2,0.0157
446,C:RWFUSD,9.599999999999366e-07,0.10896460920296208,0.00088168,0.00088198,0.00088168,0.00088198,3,0.0008819,0.00090394,0.00088198,1684270800000,48,0.00088198,0.00088198,0.00088198,0.00088198,1,0.0008791,0.00088102,0.0008791,0.00088102,3,0.0009
447,C:NZDDKK,-0.007600000000000051,-0.1777860952559196,4.2748,4.280804,4.2622,4.2685,48934,4.2712,4.272,4.2672,1684277036000,48,4.2685,4.26883,4.2664,4.2688,20,4.2504,4.276665,4.2435,4.2748,49583,4.2602
448,C:MWKGBP,-2.3900000000000093e-06,-0.3077557012065581,0.00077539,0.00077539,0.0007742,0.0007742,3,0.0007746,0.00077976,0.0007742,1684270800000,48,0.0007742,0.0007742,0.0007742,0.0007742,1,0.00077592,0.00077659,0.00077592,0.00077659,3,0.0008
449,C:USDKZT,-0.8623799999999733,-0.19242975308774987,447.87723,447.87723,447.29077,447.29077,3,447.4863,452.7978,447.29077,1684270800000,48,447.29077,447.29077,447.29077,447.29077,1,447.5105,448.15315,447.5105,448.15315,3,447.9389
450,C:GTQGBP,0.00032495999999999914,0.3175798259409232,0.10232306,0.10287641,0.10222325,0.10270476,1682,0.1025,0.10273109,0.10264884,1684276990000,48,0.10270476,0.10270476,0.10270476,0.10270476,1,0.1032815,0.10333461,0.10200509,0.10232388,1763,0.1024
