Date,Value
2008-09-30,115.7
2008-08-31,115.6
2008-07-31,115.8
2008-06-30,115.4
2008-05-31,114.6
2008-04-30,113.5
2008-03-31,112.6
2008-02-29,112.2
2008-01-31,111.8
2007-12-31,112.0
2007-11-30,111.9
2007-10-31,111.6
2007-09-30,111.9
2007-08-31,111.7
2007-07-31,112.0
2007-06-30,111.9
2007-05-31,112.1
2007-04-30,111.6
2007-03-31,111.1
2007-02-28,110.2
2007-01-31,109.4
2006-12-31,109.4
2006-11-30,109.2
2006-10-31,109.0
2006-09-30,109.2
2006-08-31,109.8
2006-07-31,109.6
2006-06-30,109.5
2006-05-31,109.7
2006-04-30,109.2
2006-03-31,108.6
2006-02-28,108.0
2006-01-31,108.2
2005-12-31,107.6
2005-11-30,107.7
2005-10-31,107.9
2005-09-30,108.4
2005-08-31,107.5
2005-07-31,107.1
2005-06-30,106.9
2005-05-31,106.7
2005-04-30,106.6
2005-03-31,106.3
2005-02-28,105.7
2005-01-31,105.3
2004-12-31,105.4
2004-11-30,105.6
2004-10-31,105.2
2004-09-30,105.0
2004-08-31,104.8
2004-07-31,105.0
2004-06-30,105.1
2004-05-31,105.0
2004-04-30,104.1
2004-03-31,103.9
2004-02-29,103.5
2004-01-31,103.3
2003-12-31,103.2
2003-11-30,103.1
2003-10-31,102.8
2003-09-30,103.1
2003-08-31,102.9
2003-07-31,102.6
2003-06-30,102.5
2003-05-31,102.5
2003-04-30,102.4
2003-03-31,103.1
2003-02-28,102.8
2003-01-31,102.0
2002-12-31,101.1
2002-11-30,101.5
2002-10-31,101.2
2002-09-30,100.9
2002-08-31,100.9
2002-07-31,100.5
2002-06-30,99.9
2002-05-31,99.7
2002-04-30,99.5
2002-03-31,98.9
2002-02-28,98.2
2002-01-31,97.6
2001-12-31,97.4
2001-11-30,97.2
2001-10-31,98.1
2001-09-30,98.6
2001-08-31,98.4
2001-07-31,98.4
2001-06-30,98.7
2001-05-31,98.6
2001-04-30,97.8
2001-03-31,97.1
2001-02-28,96.8
2001-01-31,96.3
2000-12-31,96.7
2000-11-30,96.6
2000-10-31,96.3
2000-09-30,96.1
2000-08-31,95.7
2000-07-31,95.8
2000-06-30,95.5
2000-05-31,94.9
2000-04-30,94.5
2000-03-31,94.8
2000-02-29,94.1
2000-01-31,93.5
1999-12-31,93.7
1999-11-30,93.6
1999-10-31,93.7
1999-09-30,93.6
1999-08-31,93.3
1999-07-31,93.1
1999-06-30,92.9
1999-05-31,92.7
1999-04-30,92.5
1999-03-31,92.0
1999-02-28,91.6
1999-01-31,91.5
1998-12-31,91.3
1998-11-30,91.6
1998-10-31,91.6
1998-09-30,91.2
1998-08-31,91.4
1998-07-31,91.4
1998-06-30,91.4
1998-05-31,91.3
1998-04-30,91.0
1998-03-31,91.1
1998-02-28,91.0
1998-01-31,90.9
1997-12-31,90.4
1997-11-30,90.5
1997-10-31,90.6
1997-09-30,90.6
1997-08-31,90.6
1997-07-31,90.5
1997-06-30,90.5
1997-05-31,90.3
1997-04-30,90.2
1997-03-31,90.2
