Date,Value
2006-07-31,67.8
2006-06-30,67.4
2006-05-31,67.2
2006-04-30,66.8
2006-03-31,66.6
2006-02-28,66.1
2006-01-31,65.0
2005-12-31,63.5
2005-11-30,62.9
2005-10-31,62.5
2005-09-30,62.1
2005-08-31,62.0
2005-07-31,62.1
2005-06-30,61.8
2005-05-31,61.4
2005-04-30,60.9
2005-03-31,60.2
2005-02-28,59.4
2005-01-31,58.7
2004-12-31,57.2
2004-11-30,56.6
2004-10-31,55.9
2004-09-30,55.3
2004-08-31,55.1
2004-07-31,54.8
2004-06-30,54.3
2004-05-31,53.9
2004-04-30,53.5
2004-03-31,53.0
2004-02-29,52.6
2004-01-31,52.1
2003-12-31,51.2
2003-11-30,50.6
2003-10-31,50.2
2003-09-30,49.7
2003-08-31,49.5
2003-07-31,49.7
2003-06-30,49.3
2003-05-31,49.0
2003-04-30,48.6
2003-03-31,48.1
2003-02-28,47.6
2003-01-31,46.8
2002-12-31,45.7
2002-11-30,45.0
2002-10-31,44.3
2002-09-30,43.8
2002-08-31,43.7
2002-07-31,43.6
2002-06-30,43.3
2002-05-31,43.1
2002-04-30,42.4
2002-03-31,41.9
2002-02-28,41.4
2002-01-31,41.0
2001-12-31,39.7
2001-11-30,39.1
2001-10-31,38.6
2001-09-30,38.2
2001-08-31,37.9
2001-07-31,37.9
2001-06-30,37.8
2001-05-31,37.2
2001-04-30,36.5
2001-03-31,35.9
2001-02-28,35.2
2001-01-31,34.4
2000-12-31,33.5
2000-11-30,33.0
2000-10-31,32.5
2000-09-30,31.8
2000-08-31,31.4
2000-07-31,31.1
2000-06-30,30.5
2000-05-31,29.8
2000-04-30,29.3
2000-03-31,29.0
2000-02-29,28.8
2000-01-31,28.5
1999-12-31,27.9
1999-11-30,27.5
1999-10-31,27.2
1999-09-30,26.8
1999-08-31,26.4
1999-07-31,26.1
1999-06-30,25.4
1999-05-31,24.9
1999-04-30,24.4
1999-03-31,23.7
1999-02-28,23.0
1999-01-31,22.1
1998-12-31,20.4
1998-11-30,18.3
1998-10-31,17.3
1998-09-30,16.6
1998-08-31,12.0
1998-07-31,11.5
1998-06-30,11.5
1998-05-31,11.5
1998-04-30,11.5
1998-03-31,11.4
1998-02-28,11.3
1998-01-31,11.2
1997-12-31,11.1
1997-11-30,11.0
1997-10-31,10.9
1997-09-30,10.9
1997-08-31,10.9
1997-07-31,10.9
1997-06-30,10.8
1997-05-31,10.7
1997-04-30,10.6
1997-03-31,10.5
1997-02-28,10.4
1997-01-31,10.2
1996-12-31,10.0
1996-11-30,9.8
1996-10-31,9.7
1996-09-30,9.5
1996-08-31,9.5
1996-07-31,9.5
1996-06-30,9.5
1996-05-31,9.3
1996-04-30,9.2
1996-03-31,9.0
1996-02-29,8.8
1996-01-31,8.5
1995-12-31,8.2
1995-11-30,7.9
1995-10-31,7.6
1995-09-30,7.2
1995-08-31,6.9
1995-07-31,6.6
1995-06-30,6.3
1995-05-31,5.9
1995-04-30,5.5
1995-03-31,5.0
1995-02-28,4.6
1995-01-31,4.2
1994-12-31,3.5
1994-11-30,3.0
1994-10-31,2.7
1994-09-30,2.3
1994-08-31,2.1
1994-07-31,2.0
1994-06-30,1.9
1994-05-31,1.8
1994-04-30,1.7
1994-03-31,1.6
1994-02-28,1.5
1994-01-31,1.3
1993-12-31,1.1
1993-11-30,1.0
1993-10-31,0.9
1993-09-30,0.7
1993-08-31,0.6
1993-07-31,0.5
1993-06-30,0.4
1993-05-31,0.3
1993-04-30,0.3
1993-03-31,0.2
1993-02-28,0.2
1993-01-31,0.2
1992-12-31,0.1
1992-11-30,0.1
1992-10-31,0.1
1992-09-30,0.1
1992-08-31,0.1
1992-07-31,0.1
1992-06-30,0.1
1992-05-31,0.0
1992-04-30,0.0
1992-03-31,0.0
1992-02-29,0.0
1992-01-31,0.0
