Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,75.0,29.9075,2.5077321742038,14.563106796116534,-51.306,-50.505,-52.486,-47.271,-14.097,-42.608
2022-01-31,75.0,27.814,2.69648378514417,12.908777969018924,-53.589,-38.514,-40.598,-37.763000000000005,-11.66,-41.306
2021-07-31,72.0,28.0475,2.56707371423478,12.743362831858404,-54.565,-38.937,-44.076,-39.555,-19.245,-38.707
2021-01-31,72.0,27.98,2.57326661901358,12.720848056537095,-54.50000000000001,-36.1,-43.2,-32.1,-21.0,-37.6
2020-07-31,72.0,29.4565,2.44428224670277,12.60945709281964,-57.193000000000005,-39.0,-40.2,-31.6,-22.0,-34.8
2020-01-31,72.0,29.8845,2.40927571148923,12.698412698412678,-57.508,-40.7,-39.1,-35.4,-21.9,-35.3
2019-07-31,72.0,31.172,2.309765173874,12.543554006969,-59.8,-44.5,-42.5,-34.3,-26.0,-37.0
2019-01-31,69.0,30.803,2.240041554394,12.365591397849,-59.9,-42.7,-44.2,-34.7,-27.1,-40.4
2018-07-31,69.0,30.3725,2.2717919170302,12.522686025408,-58.8,-42.2,-45.0,-37.0,-24.9,-40.0
2018-01-31,69.0,29.553,2.3347883463608,13.068181818182,-55.780523743167,-38.044548732139,-44.717908275905,-36.484896963188,-19.234240962573,-38.472989551663
2017-07-31,69.0,30.4775,2.2639652202444,13.018867924528,-57.283675089727,-41.077402599819,-41.961589973033,-31.544577630296,-19.961756554891,-34.842381552078
2017-01-31,69.0,31.905,2.1626704278326,13.636363636364,-57.259477710818,-40.486910554058,-39.365384592958,-27.404685990453,-25.675460134453,-36.365809336271
2016-07-31,69.0,32.029,2.1542976677386,13.690476190476,-57.25599865598,-40.857265475307,-41.825103536759,-31.880990136372,-30.606682427874,-35.311946568872
2016-01-31,69.0,33.2315,2.0763432285633,13.995943204868,-57.883504491617,-42.242706154294,-37.516968874772,-37.522283794572,-22.817771301382,-36.221760089842
2015-07-31,79.0,31.02,2.5467440361057,16.492693110647,-46.832066052072,-28.953194682454,-25.670516039611,-29.887450079704,-2.3823621590458,-21.652305630339
2015-01-31,79.0,31.493,2.5084939510367,16.492693110647,-47.630606450172,-28.062896120024,-29.025062868356,-30.234400075064,-3.8428569273804,-24.147942125485
2014-07-31,79.0,29.982,2.6349142819025,16.475495307612,-45.048711534881,-24.77886389995,-36.470374547141,-34.774041709608,-5.4354716279492,-19.645436154937
2014-01-31,79.0,30.161,2.619276549186,17.084159307983,-43.356787546887,-22.152192866882,-33.180816822207,-29.336745380094,18.182788077093,-23.078093097113
2013-07-31,79.0,30.0285,2.6308340409944,17.337234820775,-42.264066401001,-22.461576522921,-29.787040729514,-19.674331807802,8.0707909135032,-17.101649798176
2013-01-31,75.0,29.502,2.5422005287777,17.172704939538,-41.791387229551,-22.004799441567,-35.306711642245,-26.669765095649,-5.2027033386925,-18.610566766594
2012-07-31,75.0,30.1955,2.4838138133166,17.331022530329,-42.603955787024,-21.626838516402,-29.425172800177,-26.964026585186,-20.53233816958,-16.702758464214
2012-01-31,75.0,29.9795,2.5017095014927,17.86897041375,-40.39603591204,-17.198480718038,-29.441896868123,-18.965148909261,-20.084760759038,-16.902902204939
2011-07-31,75.0,28.834,2.6010959284178,18.450184501845,-36.012400284924,-7.4960455010473,-32.135942244973,-14.911110605392,-12.309487400679,-10.470986390105
2010-07-31,75.0,32.1055,2.336048340627,20.089285714286,-37.427276590348,,,,,
2010-01-31,75.0,31.8425,2.3553427023632,20.949720670391,-34.208304403263,,,,,
2009-07-31,75.0,33.1755,2.2607044355021,21.008403361345,-36.674945784255,,,,,
2008-06-30,75.0,30.3625,2.4701523260601,21.008403361345,-30.808058093554,,,,,
2007-06-30,75.0,32.7705,2.2886437497139,21.994134897361,-32.884347515721,,,,,
2007-01-31,75.0,32.9255,2.2778697362227,23.291925465839,-29.258703844016,,,,,
2006-05-31,75.0,32.141,2.3334681559379,24.193548387097,-24.726833679423,,,,,
2006-01-31,75.0,31.9495,2.3474545767539,23.809523809524,-25.477632484002,,,,,
2005-06-30,75.0,31.175,2.4057738572574,24.509803921569,-21.379939305313,,,,,
2004-05-31,75.0,33.4,2.24,25.862068965517,-22.568655791865,,,,,
2003-04-30,70.0,34.8,2.01,25.830258302583,-25.775119820164,,,,,
2002-04-30,70.0,34.8,2.01,28.112449799197,-19.21709827817,,,,,
2001-04-30,70.0,32.9,2.13,27.55905511811,-16.233875020942,,,,,
2000-04-30,70.0,30.6,2.29,27.888446215139,-8.8612868786293,,,,,
