Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,57.0,10.19785,5.58941345479684,11.067961165048535,8.532,18.845,14.087,26.609,106.264,37.806
2022-01-31,54.0,9.3341,5.78523906964785,9.294320137693632,-0.426,8.075000000000001,4.413,9.396,55.277,3.168
2021-07-31,54.0,8.7165,6.19514713474445,9.557522123893804,9.649,19.795,9.714,18.583,58.429,20.248
2021-01-31,52.88,8.29525,6.37473252765137,9.342756183745587,12.6,25.4,11.3,33.1,54.900000000000006,22.4
2020-07-31,52.6,9.1384,5.75593101637048,9.211908931698774,0.804,8.0,5.9,21.2,38.2,15.6
2020-01-31,51.5,9.4591,5.4444926050047,9.082892416225745,-3.977,2.6,5.4,11.8,35.099999999999994,12.0
2019-07-31,51.0,9.47505,5.3825573479823,8.8850174216028,-6.2,-0.9,2.7,17.3,32.2,12.5
2019-01-31,52.0,8.90625,5.8385964912281,9.3189964157706,4.6,11.1,8.2,26.5,41.3,15.5
2018-07-31,51.0,8.7526,5.8268400246784,9.2558983666062,5.8,11.5,6.1,21.7,45.0,15.7
2018-01-31,49.1,8.0188,6.1231106898788,9.2992424242424,15.968005490128,22.439818263865,9.2515529372901,25.522089076801,59.613797593554,21.593109620705
2017-07-31,48.97,8.41565,5.8189207013124,9.2396226415094,9.7909566285365,15.41568318069,13.683765474379,34.088273240275,56.776329547402,27.628641292222
2017-01-31,48.0,9.12455,5.2605333961675,9.4861660079051,3.9631105961953,9.4275955374855,11.489761867593,33.482074839506,36.661627931523,17.005125143618
2016-07-31,44.94,8.59485,5.2287125429763,8.9166666666667,3.7442964876254,9.1045729066378,7.3191370591711,25.663710643801,28.014511623916,19.334394976584
2016-01-31,45.0,8.60185,5.2314327731825,9.1277890466531,6.1142550341281,2.4734486874395,10.857889238223,10.848459465373,36.93732212002,13.155858933905
2015-07-31,43.7,8.52265,5.1275131561193,9.1231732776618,7.0462036768117,3.8648239625159,8.6638411433801,2.4990162821044,42.709284740822,14.538147735183
2015-01-31,40.7,8.19145,4.9685953036398,8.4968684759917,3.7285032075109,-0.50146904887186,-1.8322729431859,-3.5049462786691,32.998049131169,4.9134302199088
2014-07-31,40.7,6.836,5.9537741369222,8.4880083420229,24.16630108284,20.920472130099,2.1259808385558,4.8528921594828,52.015617024175,29.172627558157
2014-01-31,40.7,6.47315,6.2875107173478,8.8015858713282,35.970676893447,24.768204201393,7.0924127257846,13.253381265775,89.413867633784,23.284245779828
2013-07-31,41.61,6.7583,6.1568737700309,9.1316752011704,35.117932041644,24.626392205425,12.85227900634,29.106290525018,73.700626997118,33.241325295828
2013-01-31,40.559301380991,6.3492,6.3880963556024,9.2868388689273,46.267858453463,34.980305239703,11.959707096948,26.907007351983,64.058402922569,40.854443125652
2012-07-31,39.973019865841,6.9777,5.7286813514254,9.2369774386692,32.378540760841,30.451423993407,17.471166557857,21.567722347159,32.273209998991,38.647511053132
2012-01-31,41.0,6.9338,5.9130635437999,9.76837049285,40.880476691714,38.735258238945,18.221220380234,35.77517767693,33.899250273023,39.230504723554
2011-07-31,48.4,6.3352,7.6398535168582,11.906519065191,87.942275937471,84.798063422656,35.574165634987,69.98475431757,75.182098934786,78.854930309347
2010-07-31,48.4,7.37355,6.5640024140339,12.964285714286,75.821493233052,,,,,
2010-01-31,39.0,7.0821,5.5068411911721,10.893854748603,53.822379641679,,,,,
2009-07-31,39.0,7.90915,4.9309976419716,10.924369747899,38.123183248505,,,,,
2008-06-30,38.0,5.96085,6.3749297499518,10.644257703081,78.569460782963,,,,,
2007-06-30,33.0,6.79165,4.8589076292212,9.6774193548387,42.489959801208,,,,,
2007-01-31,32.0,7.04125,4.5446476122848,9.9378881987578,41.138124605116,,,,,
2006-05-31,33.0,7.28455,4.5301356981557,10.645161290323,46.133409617925,,,,,
2006-01-31,33.0,7.7119,4.2791011294234,10.47619047619,35.844480299154,,,,,
2005-06-30,31.0,7.4402,4.1665546625091,10.130718954248,36.16191707546,,,,,
2004-05-31,30.0,7.61,3.94,10.344827586207,35.937287597988,,,,,
2003-04-30,30.0,8.34,3.5,11.070110701107,32.735140301043,,,,,
2002-04-30,26.0,10.4,2.52,10.441767068273,0.40160642570279,,,,,
2001-04-30,24.0,10.28,2.33,9.4488188976378,-8.085419283679,,,,,
2000-04-30,24.0,8.84,2.71,9.5617529880478,8.1646265616268,,,,,
