implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
0.5224453160162649,4929,25.365,,,1.6881552e+18,,,,,0.38,,,call,american,2023-07-07,100,25.0,,0.352146447234983,0.2376428318837224,-0.053695381048272706,0.010713541069256012,0.38,68,0.35,12,,0.365,[209],308.0,0.38,1.6881551927801047e+18,5.0,1.045,,,
0.5256693293939387,0,23.625,,,,,,,,,,,put,american,2023-08-04,100,26.5,,-0.6718275806216483,0.09632858715463055,-0.018912805045743584,0.02678944742524091,3.45,33,2.3,236,,2.875,,,,,,-0.695,,,
0.5302608689320043,57,25.825,,,1.6881552e+18,,,,,11.15,,,call,american,2024-06-21,100,15.0,,0.8993642790387036,0.013915935126882597,-0.004720281095294747,0.04290268770215306,11.45,244,10.2,201,,10.825,[209],313.0,11.15,1.688151637285488e+18,2.0,1.505,,,
0.5310611128157339,144,24.105,,,1.6881552e+18,,,,,1.41,,,put,american,2023-07-07,100,25.5,,-0.7536981076779974,0.20186767600676642,-0.04339670714412473,0.010704082721686922,1.5,25,1.29,496,,1.395,[209],316.0,1.41,1.688154533690161e+18,1.0,-0.215,,,
0.5331044615423007,549,26.125,,,1.6879824e+18,,,,,12.45,,,call,american,2025-01-17,100,13.0,,0.9181749075642588,0.009400819334822,-0.0034616854504793235,0.047290806871575455,14.25,403,12.0,409,,13.125,[209],313.0,12.45,1.687974958022e+18,1.0,1.805,,,
0.5339460220642714,1208,24.775,,,1.6881552e+18,,,,,4.95,,,call,american,2023-08-18,100,20.0,,0.8746117838009886,0.044355979409118486,-0.012540234014133997,0.020210912381570828,4.95,400,4.6,19,,4.775,[209],316.0,4.95,1.688155125642331e+18,1.0,0.455,,,
0.5340597379800591,1304,24.775,,,1.6868592e+18,,,,,12.68,,,call,american,2024-01-19,100,12.5,,0.9745383608555437,0.00615004661702041,-0.0030107817956001406,0.011344372044627637,12.8,564,11.75,313,,12.275,[232],312.0,12.68,1.686856307034e+18,2.0,0.455,,,
0.5346459960533749,136,22.22,,,1.6881552e+18,,,,,0.3,,,put,american,2023-07-14,100,22.5,,-0.1973584266212527,0.1166679952323803,-0.02632090325739212,0.011381005709591118,0.34,18,0.22,210,,0.28,[209],319.0,0.3,1.68815519019563e+18,1.0,-2.1,,,
0.5382008387292574,917,25.165,,,1.6881552e+18,,,,,1.15,,,call,american,2023-07-14,100,24.0,,0.578819561868986,0.16174670055418547,-0.03975733077590137,0.01774871919809133,1.24,58,1.09,5,,1.165,[209],313.0,1.15,1.6881551906065423e+18,1.0,0.845,,,
0.5384009291931409,227,22.575,,,1.6881552e+18,,,,,0.42,,,put,american,2023-07-14,100,23.0,,-0.2676905837279361,0.13609948799152477,-0.031009282157932683,0.015094486840355647,0.47,209,0.38,71,,0.425,[209],302.0,0.42,1.6881550477536632e+18,1.0,-1.75,,,
0.5399110678426744,574,24.645,,,1.6881552e+18,,,,,2.24,,,call,american,2023-07-14,100,22.5,,0.8013030680941738,0.1159169592726862,-0.02978710453750366,0.011371047203897056,2.29,242,2.0,26,,2.145,[232],308.0,2.24,1.688154953368402e+18,1.0,0.325,,,
0.5446765807512041,14,22.33,,,1.687896e+18,,,,,1.7,,,put,american,2023-08-04,100,23.5,,-0.37760339914896723,0.09585491261619541,-0.021616877952298573,0.028410349643981578,1.47,16,0.87,246,,1.17,[209],313.0,1.7,1.687895158512e+18,1.0,-1.99,,,
0.5450753606666872,72,24.675,,,1.6868592e+18,,,,,12.61,,,call,american,2023-12-15,100,12.5,,0.9815184356848299,0.005112605213732833,-0.00285641210376283,0.010426159863049763,12.7,246,11.65,12,,12.175,[232],312.0,12.61,1.686856307034e+18,2.0,0.355,,,
0.5466730215586263,0,24.7,,,1.6824528e+18,,,,,6.45,,,call,american,2023-11-17,100,14.0,,0.9692867812685624,0.008480076371670333,-0.003843385494849177,0.010315660033896619,11.2,158,10.2,11,,10.7,[232],312.0,6.45,1.682437652144e+18,2.0,0.38,,,
0.5476999391045401,231,21.8,,,1.6881552e+18,,,,,0.2,,,put,american,2023-07-14,100,22.0,,-0.14692761624676914,0.09330813191314408,-0.02215948856576685,0.011207393322256884,0.22,32,0.18,173,,0.2,[209],304.0,0.2,1.688155141444234e+18,2.0,-2.52,,,
0.5483970951954118,164,24.925,,,1.686168e+18,,,,,12.45,,,call,american,2024-01-19,100,13.75,,0.9537614874241078,0.009850337304526495,-0.004075532137200448,0.02099579024574714,11.7,435,10.65,95,,11.175,[209],315.0,12.45,1.686146303364e+18,7.0,0.605,,,
0.5492082833921347,19,21.715,,,1.6880688e+18,,,,,0.8,,,put,american,2023-08-04,100,22.5,,-0.28334465183137075,0.08481551644209591,-0.019674228173868307,0.024175418096533216,1.0,19,0.57,355,,0.785,[209],303.0,0.8,1.6880679597421102e+18,1.0,-2.61,,,
0.5497507869265398,365,22.895,,,1.6881552e+18,,,,,0.51,,,put,american,2023-07-14,100,23.5,,-0.3435888069556618,0.15086750453331804,-0.035707805685265465,0.01750558270571715,0.7,11,0.51,460,,0.605,[209],308.0,0.51,1.6881540352768056e+18,10.0,-1.43,,,
