,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
1722,0.35879383705506523,198,83.665,,,1.6881552e+18,,,,,1.37,,,put,american,2025-12-19,100,85.0,,-0.026507793073522825,0.0005868779416439915,-0.0030180520277901125,0.23606050754519572,1.45,191,1.22,141,,1.335,[209],303.0,1.37,1.688149660647e+18,1.0,-109.0,,,
754,0.3585045702934285,0,192.075,,,1.6800336e+18,,,,,93.44,,,put,american,2023-10-20,100,250.0,,-0.9315174715995951,0.006642737408564273,-0.012621735049703292,0.13869882300697736,58.7,30,57.15,30,,57.925,[232],313.0,93.44,1.680023270589e+18,1.0,-0.375,,,
1024,0.3584495624119529,31691,119.555,,,1.6884144e+18,,,,,0.44,,,put,american,2024-01-19,100,120.0,,-0.02122809922736682,0.0010113748992497565,-0.006021768691982323,0.09431183476401542,0.46,418,0.43,266,,0.445,[227],323.0,0.44,1.6884015709343757e+18,1.0,-72.9,,,
1055,0.357944887357633,0,192.325,,,1.6753716e+18,,,,,124.45,,,put,american,2024-01-19,100,275.0,,-0.9606853076228458,0.00496455972219768,-0.005844494965767032,0.13405755928534224,83.8,97,81.55,67,,82.675,[240],323.0,124.45,1.675363725527e+18,1.0,-0.125,,,
536,0.3426435525715431,32,270.02,,,1.6881552e+18,,,,,0.01,,,call,american,2023-08-18,100,270.0,,0.0028398133752404312,0.00036807486382340666,-0.002259131866895544,0.007245996342309491,0.03,99,0.01,80,,0.02,[227],308.0,0.01,1.688132250536e+18,1.0,77.57,,,
1126,0.3571863669136324,1637,114.425,,,1.6884144e+18,,,,,0.57,,,put,american,2024-03-15,100,115.0,,-0.023558670104636147,0.0009745595976566083,-0.0056635888653464835,0.10206688270640017,0.59,135,0.56,1,,0.575,[227],309.0,0.57,1.688400449252891e+18,1.0,-78.0,,,
189,0.35549360261672447,4559,169.935,,,1.6884144e+18,,,,,0.07,,,put,american,2023-07-14,100,170.0,,-0.015261092465663102,0.0033523272959609064,-0.021115652531896074,0.014730285163305514,0.07,1078,0.06,186,,0.065,[209],322.0,0.07,1.6884017494156262e+18,1.0,-22.5,,,
1076,0.35520090325365056,2254,196.8,,,1.6878096e+18,,,,,70.45,,,call,american,2024-03-15,100,120.0,,0.964993359977695,0.001255003014332262,-0.02078864852280504,0.10533407622919673,77.15,1,76.45,1,,76.8,[209],312.0,70.45,1.68779619954e+18,1.0,4.35,,,
390,0.35476425618019247,811,159.885,,,1.6884144e+18,,,,,0.11,,,put,american,2023-07-28,100,160.0,,-0.017155667139906572,0.0024129501311740266,-0.014976948502089724,0.02149554641293973,0.12,87,0.11,110,,0.115,[209],322.0,0.11,1.6883995141651814e+18,1.0,-32.6,,,
513,0.3544895271202549,7187,193.625,,,1.6884144e+18,,,,,38.49,,,call,american,2023-08-18,100,155.0,,0.9678220022840233,0.002964855039821971,-0.037032557407507126,0.05698158269325635,38.95,1,38.3,1,,38.625,[232],312.0,38.49,1.6884026331424983e+18,1.0,1.175,,,
