,operationType,counterparty,currency,tradeDate,settlementDate,maturityDate,termInDays,amount,interestRate,isSmallValue,lastUpdated
37,U.S. Dollar Liquidity Swap,Bank of Japan,USD,2023-01-31,2023-02-02,2023-02-09,7,1000000,4.8100000000000005,,2023-02-02 16:00:00
38,U.S. Dollar Liquidity Swap,European Central Bank,USD,2023-01-25,2023-01-26,2023-02-02,7,426000000,4.58,,2023-01-26 16:00:00
39,U.S. Dollar Liquidity Swap,Bank of Japan,USD,2023-01-24,2023-01-26,2023-02-02,7,1000000,4.58,,2023-01-26 16:00:00
40,U.S. Dollar Liquidity Swap,European Central Bank,USD,2023-01-18,2023-01-19,2023-01-26,7,384000000,4.58,,2023-01-19 16:00:01
41,U.S. Dollar Liquidity Swap,Bank of Japan,USD,2023-01-17,2023-01-19,2023-01-26,7,3000000,4.58,,2023-01-19 16:00:01
42,U.S. Dollar Liquidity Swap,Bank of England,USD,2023-01-11,2023-01-12,2023-01-19,7,5000000,4.58,,2023-01-12 16:00:00
43,U.S. Dollar Liquidity Swap,European Central Bank,USD,2023-01-11,2023-01-12,2023-01-19,7,192500000,4.58,,2023-01-12 16:00:00
44,U.S. Dollar Liquidity Swap,European Central Bank,USD,2023-01-04,2023-01-05,2023-01-12,7,190500000,4.58,,2023-01-05 16:00:00
45,U.S. Dollar Liquidity Swap,European Central Bank,USD,2022-12-21,2022-12-22,2023-01-05,14,412200000,4.59,,2022-12-22 16:00:00
46,U.S. Dollar Liquidity Swap,European Central Bank,USD,2022-12-14,2022-12-15,2022-12-22,7,209000000,4.59,,2022-12-15 16:00:00
47,U.S. Dollar Liquidity Swap,Bank of Japan,USD,2022-12-13,2022-12-15,2022-12-22,7,1000000,4.53,,2022-12-15 16:00:00
48,U.S. Dollar Liquidity Swap,European Central Bank,USD,2022-12-07,2022-12-08,2022-12-15,7,205500000,4.09,,2022-12-08 16:00:00
49,U.S. Dollar Liquidity Swap,Swiss National Bank,USD,2022-12-07,2022-12-08,2022-12-15,7,1000000,4.09,,2022-12-08 16:00:00
