,Open,High,Low,Close,Volume,Timestamp
0,43.14,43.14,42.85,42.93,11162.0,2023-07-26 08:00:00
1,42.87,42.92,42.8,42.81,2579.0,2023-07-26 09:00:00
2,42.86,42.86,42.73,42.8,4827.0,2023-07-26 10:00:00
3,42.84,42.96,42.75,42.9,13216.0,2023-07-26 11:00:00
4,42.86,42.95,40.9,42.78,52568.0,2023-07-26 12:00:00
5,42.79,44.0799,42.47,44.0282,1443536.0,2023-07-26 13:00:00
6,44.0,44.0001,42.64,42.68,1178954.0,2023-07-26 14:00:00
7,42.67,42.85,42.42,42.79,957296.0,2023-07-26 15:00:00
8,42.79,42.88,42.665,42.815,417052.0,2023-07-26 16:00:00
9,42.82,42.91,42.73,42.73,379216.0,2023-07-26 17:00:00
10,42.7,43.49,42.69,43.22,1183098.0,2023-07-26 18:00:00
11,43.25,43.34,42.71,43.33,1383104.0,2023-07-26 19:00:00
12,43.33,43.56,43.27,43.47,100063.0,2023-07-26 20:00:00
13,43.45,43.5,43.32,43.5,8360.0,2023-07-26 21:00:00
14,43.45,43.5,43.35,43.47,5316.0,2023-07-26 22:00:00
15,43.46,43.95,43.46,43.93,26029.0,2023-07-26 23:00:00
16,44.3,44.9,44.28,44.87,34910.0,2023-07-27 08:00:00
17,44.87,44.87,44.63,44.69,14533.0,2023-07-27 09:00:00
18,44.76,44.77,44.71,44.76,5521.0,2023-07-27 10:00:00
19,44.73,45.2,44.66,45.15,67063.0,2023-07-27 11:00:00
20,44.7304,45.4462,44.1,45.19,225556.0,2023-07-27 12:00:00
21,45.1613,47.16,45.08,45.84,3947421.0,2023-07-27 13:00:00
22,45.85,45.9,44.52,45.3,3037193.0,2023-07-27 14:00:00
23,45.305,45.53,44.82,45.04,1493532.0,2023-07-27 15:00:00
24,45.0316,45.57,44.995,45.14,1143337.0,2023-07-27 16:00:00
25,45.15,45.17,43.74,43.785,1465230.0,2023-07-27 17:00:00
26,43.785,43.81,42.8642,42.87,2083585.0,2023-07-27 18:00:00
27,42.86,43.33,42.72,43.21,2502699.0,2023-07-27 19:00:00
28,43.21,43.85,43.21,43.6,78220.0,2023-07-27 20:00:00
29,43.58,43.6,43.31,43.31,10751.0,2023-07-27 21:00:00
30,43.4,43.58,43.31,43.45,11360.0,2023-07-27 22:00:00
31,43.43,43.6,43.36,43.36,20211.0,2023-07-27 23:00:00
32,44.25,44.4,43.63,43.9,23783.0,2023-07-28 08:00:00
33,43.99,44.18,43.91,44.05,7254.0,2023-07-28 09:00:00
34,44.05,44.17,44.0,44.0,5846.0,2023-07-28 10:00:00
35,44.13,44.35,44.05,44.24,29168.0,2023-07-28 11:00:00
36,44.13,44.73,42.95,44.6,120528.0,2023-07-28 12:00:00
37,44.62,45.35,44.14,44.915,1972387.0,2023-07-28 13:00:00
38,44.93,45.1797,43.9,44.23,1484916.0,2023-07-28 14:00:00
39,44.24,45.09,44.13,45.0,958790.0,2023-07-28 15:00:00
40,45.0,45.04,44.65,45.01,776718.0,2023-07-28 16:00:00
41,45.0,45.25,44.82,45.12,687130.0,2023-07-28 17:00:00
42,45.11,45.575,45.1017,45.385,1014097.0,2023-07-28 18:00:00
43,45.39,45.44,45.13,45.39,1467225.0,2023-07-28 19:00:00
44,45.39,45.54,45.3604,45.41,114178.0,2023-07-28 20:00:00
45,45.41,45.54,45.41,45.5388,23834.0,2023-07-28 21:00:00
46,45.47,45.6,45.47,45.6,11554.0,2023-07-28 22:00:00
47,45.6,45.6,45.53,45.58,15221.0,2023-07-28 23:00:00
