,Close,High,Open,Low,Volume,Timestamp,RSI
0,4.34,4.39,4.36,4.31,15678.0,1688371200000.0,
1,4.33,4.35,4.35,4.33,3821.0,1688374800000.0,
2,4.33,4.36,4.35,4.33,11592.0,1688378400000.0,
3,4.33,4.33,4.33,4.32,35367.0,1688382000000.0,
4,4.31,4.34,4.34,4.31,124720.0,1688385600000.0,
5,4.4669,4.47,4.3108,4.3,3447875.0,1688389200000.0,
6,4.545,4.6,4.47,4.46,5425157.0,1688392800000.0,
7,4.445,4.55,4.5462,4.44,3154726.0,1688396400000.0,
8,4.45,4.5,4.445,4.43,3345546.0,1688400000000.0,
9,4.44,4.44,4.44,4.44,224854.0,1688403600000.0,
10,4.44,4.44,4.44,4.44,0.0,1688410800000.0,
11,4.42,4.4698,4.4508,4.41,76831.0,1688414400000.0,
12,4.41,4.42,4.42,4.35,16901.0,1688544000000.0,
13,4.4,4.4,4.4,4.39,5643.0,1688547600000.0,
14,4.45,4.45,4.42,4.42,5449.0,1688551200000.0,
15,4.42,4.47,4.46,4.42,16773.0,1688554800000.0,
16,4.43,4.47,4.465,4.36,79374.0,1688558400000.0,
17,4.32,4.44,4.43,4.32,1479685.0,1688562000000.0,
18,4.3642,4.37,4.32,4.22,4911331.0,1688565600000.0,
19,4.305,4.37,4.365,4.3,1542519.0,1688569200000.0,
20,4.3,4.32,4.305,4.27,1513762.0,1688572800000.0,
21,4.265,4.3,4.295,4.26,3367788.0,1688576400000.0,
22,4.307,4.32,4.265,4.26,1497889.0,1688580000000.0,
23,4.25,4.375,4.31,4.23,5441783.0,1688583600000.0,
24,4.28,4.2995,4.25,4.25,92950.0,1688587200000.0,
25,4.25,4.29,4.28,4.24,128514.0,1688590800000.0,
26,4.2495,4.26,4.2592,4.23,105384.0,1688594400000.0,
27,4.23,4.26,4.25,4.22,111830.0,1688598000000.0,
28,4.27,4.3,4.26,4.19,22625.0,1688630400000.0,
29,4.29,4.29,4.25,4.24,12972.0,1688634000000.0,
30,4.25,4.28,4.28,4.24,3012.0,1688637600000.0,
31,4.25,4.27,4.26,4.24,7612.0,1688641200000.0,
32,4.24,4.2815,4.25,4.1915,181954.0,1688644800000.0,
33,4.24,4.32,4.23,4.19,3352880.0,1688648400000.0,
34,4.275,4.28,4.235,4.19,2107422.0,1688652000000.0,
35,4.2635,4.29,4.2701,4.23,4649378.0,1688655600000.0,
36,4.24,4.27,4.26,4.22,1074127.0,1688659200000.0,
37,4.29,4.29,4.24,4.23,2459621.0,1688662800000.0,
38,4.285,4.31,4.29,4.26,1714815.0,1688666400000.0,
39,4.295,4.33,4.29,4.265,4797045.0,1688670000000.0,
40,4.3,4.31,4.31,4.29,87549.0,1688673600000.0,
41,4.31,4.33,4.3,4.29,89812.0,1688677200000.0,
42,4.3,4.35,4.32,4.29,96665.0,1688680800000.0,
43,4.32,4.4,4.3018,4.3,161020.0,1688684400000.0,
44,4.32,4.33,4.33,4.32,6365.0,1688716800000.0,
45,4.32,4.33,4.33,4.32,2319.0,1688720400000.0,
46,4.3,4.3,4.3,4.3,1994.0,1688724000000.0,
47,4.3,4.32,4.31,4.3,13311.0,1688727600000.0,
48,4.3203,4.34,4.3198,4.29,82006.0,1688731200000.0,
49,4.3,4.355,4.33,4.27,1550356.0,1688734800000.0,
50,4.255,4.3099,4.3,4.24,2228187.0,1688738400000.0,
51,4.275,4.28,4.25,4.25,1362373.0,1688742000000.0,
52,4.2901,4.31,4.27,4.26,1693711.0,1688745600000.0,
53,4.24,4.3,4.295,4.24,1804554.0,1688749200000.0,
54,4.225,4.25,4.2495,4.22,1355892.0,1688752800000.0,
55,4.2,4.27,4.2233,4.2,4177249.0,1688756400000.0,
56,4.2206,4.23,4.21,4.2,218375.0,1688760000000.0,
57,4.1995,4.22,4.22,4.19,291243.0,1688763600000.0,
58,4.18,4.2,4.1903,4.17,159762.0,1688767200000.0,
59,4.18,4.19,4.19,4.14,371070.0,1688770800000.0,
60,4.17,4.18,4.15,4.13,9704.0,1688976000000.0,
61,4.17,4.17,4.17,4.17,462.0,1688979600000.0,
62,4.16,4.17,4.17,4.16,12441.0,1688983200000.0,
63,4.12,4.23,4.16,3.89,812049.0,1688986800000.0,
64,4.18,4.1998,4.1694,3.9,475833.0,1688990400000.0,
65,4.265,4.27,4.17,4.17,4296712.0,1688994000000.0,
66,4.2697,4.29,4.265,4.2414,3233180.0,1688997600000.0,
67,4.215,4.28,4.27,4.21,1524282.0,1689001200000.0,
68,4.21,4.23,4.22,4.19,1956566.0,1689004800000.0,
69,4.2124,4.22,4.215,4.2,804185.0,1689008400000.0,
70,4.2201,4.25,4.215,4.21,1880163.0,1689012000000.0,
71,4.24,4.27,4.23,4.17,7208160.0,1689015600000.0,
72,4.25,4.26,4.22,4.22,776566.0,1689019200000.0,
73,4.25,4.27,4.25,4.25,253820.0,1689022800000.0,
74,4.23,4.26,4.2594,4.23,21891.0,1689026400000.0,
75,4.26,4.26,4.24,4.24,64331.0,1689030000000.0,
76,4.26,4.27,4.26,4.22,8064.0,1689062400000.0,
77,4.27,4.27,4.26,4.26,1756.0,1689066000000.0,
78,4.26,4.29,4.28,4.26,6553.0,1689069600000.0,
79,4.27,4.3,4.27,4.26,65018.0,1689073200000.0,
80,4.29,4.3,4.27,4.24,214808.0,1689076800000.0,
81,4.365,4.39,4.28,4.2539,2809455.0,1689080400000.0,
82,4.375,4.4,4.365,4.3,4977362.0,1689084000000.0,
83,4.37,4.38,4.37,4.3201,2137076.0,1689087600000.0,
84,4.36,4.4,4.38,4.33,2606898.0,1689091200000.0,
85,4.345,4.39,4.355,4.34,1513975.0,1689094800000.0,
86,4.35,4.36,4.35,4.32,3098394.0,1689098400000.0,
87,4.38,4.44,4.35,4.33,5239953.0,1689102000000.0,
88,4.41,4.43,4.39,4.3604,135165.0,1689105600000.0,
89,4.3393,4.42,4.41,4.29,221232.0,1689109200000.0,
90,4.36,4.36,4.33,4.3295,44983.0,1689112800000.0,
91,4.35,4.36,4.3592,4.34,59720.0,1689116400000.0,
92,4.38,4.4,4.39,4.37,6190.0,1689148800000.0,
