,Open,High,Low,Close,Volume,Timestamp
0,22.8,22.8,22.8,22.8,425,2023-07-26 09:00:00
1,22.7,22.79,22.7,22.79,1628,2023-07-26 11:00:00
2,22.75,22.8877,22.69,22.7001,3444,2023-07-26 12:00:00
3,22.72,22.98,22.64,22.9315,180285,2023-07-26 13:00:00
4,22.93,22.99,22.54,22.54,254425,2023-07-26 14:00:00
5,22.55,22.7004,22.48,22.6407,250316,2023-07-26 15:00:00
6,22.6425,22.83,22.59,22.83,124982,2023-07-26 16:00:00
7,22.82,22.87,22.77,22.77,108278,2023-07-26 17:00:00
8,22.68,22.93,22.6299,22.84,135930,2023-07-26 18:00:00
9,22.85,22.87,22.67,22.69,272130,2023-07-26 19:00:00
10,22.7,22.71,22.69,22.7,8808,2023-07-26 20:00:00
11,22.69,22.73,22.69,22.73,4029,2023-07-26 21:00:00
12,22.73,22.74,22.7,22.74,1748,2023-07-26 22:00:00
13,22.72,22.81,22.66,22.66,1172,2023-07-26 23:00:00
14,22.79,22.96,22.78,22.96,1479,2023-07-27 08:00:00
15,22.9,22.96,22.9,22.96,1274,2023-07-27 09:00:00
16,22.95,22.95,22.95,22.95,600,2023-07-27 10:00:00
17,22.9,22.95,22.9,22.93,1976,2023-07-27 11:00:00
18,22.9,22.96,22.9,22.9508,10413,2023-07-27 12:00:00
19,22.9311,23.1499,22.74,23.0,303822,2023-07-27 13:00:00
20,23.01,23.01,22.68,22.76,284099,2023-07-27 14:00:00
21,22.7864,22.95,22.77,22.85,185040,2023-07-27 15:00:00
22,22.85,23.49,22.83,23.11,723963,2023-07-27 16:00:00
23,23.115,23.16,22.785,22.8694,439614,2023-07-27 17:00:00
24,22.85,22.87,22.2,22.23,490989,2023-07-27 18:00:00
25,22.22,22.3373,22.1302,22.23,566277,2023-07-27 19:00:00
26,22.22,22.31,21.5,22.1524,141065,2023-07-27 20:00:00
27,22.19,22.3,22.1,22.25,33208,2023-07-27 21:00:00
28,22.17,22.17,21.81,21.97,19609,2023-07-27 22:00:00
29,21.95,22.0,21.95,21.95,4653,2023-07-27 23:00:00
30,21.95,22.11,21.95,22.1,2508,2023-07-28 08:00:00
31,22.21,22.23,22.2,22.21,1008,2023-07-28 10:00:00
32,22.2,22.2,22.05,22.15,6116,2023-07-28 11:00:00
33,22.2,22.31,22.04,22.31,10548,2023-07-28 12:00:00
34,22.31,22.31,21.79,21.955,538115,2023-07-28 13:00:00
35,21.95,22.39,21.92,22.35,385902,2023-07-28 14:00:00
36,22.3498,22.49,22.26,22.35,237075,2023-07-28 15:00:00
37,22.35,22.44,22.24,22.34,130771,2023-07-28 16:00:00
38,22.32,22.3225,22.1035,22.2,160272,2023-07-28 17:00:00
39,22.19,22.2096,21.96,21.97,292819,2023-07-28 18:00:00
40,21.975,21.9962,21.81,21.92,678594,2023-07-28 19:00:00
41,21.93,22.02,21.93,21.95,48571,2023-07-28 20:00:00
42,21.94,22.0,21.88,22.0,4427,2023-07-28 21:00:00
43,21.9997,22.0,21.91,22.0,2673,2023-07-28 22:00:00
44,21.93,22.01,21.93,22.0,1937,2023-07-28 23:00:00
