,Timestamp,Open,High,Low,Close,Volume,RSI
0,2023-01-03 05:00:00,384.37,386.43,377.831,380.82,74850731.0,69.39810221570238
1,2023-01-04 05:00:00,383.18,385.88,380.0,383.76,85934098.0,64.17749959116537
2,2023-01-05 05:00:00,381.72,381.84,378.76,379.38,76275354.0,71.94720871068687
3,2023-01-06 05:00:00,382.61,389.25,379.4127,388.08,104052662.0,
4,2023-01-09 05:00:00,390.37,393.7,387.67,387.86,73978071.0,
5,2023-01-10 05:00:00,387.25,390.65,386.27,390.58,65298094.0,
6,2023-01-11 05:00:00,392.23,395.6,391.38,395.52,68702980.0,
7,2023-01-12 05:00:00,396.67,398.485,392.42,396.96,90145699.0,
8,2023-01-13 05:00:00,393.62,399.1,393.34,398.5,63853932.0,
9,2023-01-17 05:00:00,398.48,400.23,397.06,397.77,62577281.0,
10,2023-01-18 05:00:00,399.01,400.12,391.28,391.49,99495062.0,
11,2023-01-19 05:00:00,389.36,391.08,387.26,388.64,86601919.0,
12,2023-01-20 05:00:00,390.1,396.04,388.38,395.88,91542126.0,
13,2023-01-23 05:00:00,396.72,402.645,395.72,400.63,84178797.0,
14,2023-01-24 05:00:00,398.88,401.15,397.64,400.2,59469411.0,
15,2023-01-25 05:00:00,395.95,400.7,393.56,400.35,84684501.0,
16,2023-01-26 05:00:00,403.13,404.92,400.03,404.75,72177425.0,
17,2023-01-27 05:00:00,403.655,408.16,403.44,405.68,68249180.0,
18,2023-01-30 05:00:00,402.8,405.13,400.28,400.59,74067618.0,
19,2023-01-31 05:00:00,401.13,406.53,400.77,406.48,86655786.0,
20,2023-02-01 05:00:00,405.211,413.67,402.35,410.8,101459155.0,
21,2023-02-02 05:00:00,414.86,418.31,412.88,416.78,101192713.0,
22,2023-02-03 05:00:00,411.59,416.97,411.09,412.35,94577181.0,
23,2023-02-06 05:00:00,409.79,411.29,408.1,409.83,60250025.0,
24,2023-02-07 05:00:00,408.87,416.49,407.57,415.19,90721745.0,
25,2023-02-08 05:00:00,413.13,414.53,409.93,410.65,76227462.0,
26,2023-02-09 05:00:00,414.41,414.57,405.81,407.09,78564109.0,
27,2023-02-10 05:00:00,405.86,408.44,405.01,408.04,70767615.0,
28,2023-02-13 05:00:00,408.72,412.97,408.24,412.83,64903039.0,
29,2023-02-14 05:00:00,411.24,415.05,408.511,412.64,87681813.0,
30,2023-02-15 05:00:00,410.35,414.06,409.47,413.98,61368279.0,
31,2023-02-16 05:00:00,408.79,412.91,408.14,408.28,76418169.0,
32,2023-02-17 05:00:00,406.06,407.51,404.05,407.26,89196815.0,
33,2023-02-21 05:00:00,403.06,404.16,398.82,399.09,82585674.0,
34,2023-02-22 05:00:00,399.52,401.13,397.02,398.54,83500793.0,
35,2023-02-23 05:00:00,401.56,402.2,396.25,400.66,96195399.0,
36,2023-02-24 05:00:00,395.42,397.25,393.64,396.38,108122913.0,
37,2023-02-27 05:00:00,399.87,401.29,396.75,397.73,80251136.0,
38,2023-02-28 05:00:00,397.23,399.28,396.15,396.26,96350567.0,
39,2023-03-01 05:00:00,395.41,396.69,393.38,394.74,99552823.0,
40,2023-03-02 05:00:00,392.68,398.69,392.33,397.81,85372726.0,
41,2023-03-03 05:00:00,399.71,404.45,399.03,404.19,90119952.0,
42,2023-03-06 05:00:00,405.05,407.45,404.01,404.47,72758446.0,
43,2023-03-07 05:00:00,404.42,404.67,397.625,398.27,108161096.0,
44,2023-03-08 05:00:00,398.39,399.71,396.59,398.92,74446632.0,
45,2023-03-09 05:00:00,399.74,401.48,390.53,391.56,111830522.0,
46,2023-03-10 05:00:00,390.99,393.16,384.32,385.91,189189896.0,
47,2023-03-13 04:00:00,381.81,390.39,380.65,385.36,157039967.0,
48,2023-03-14 04:00:00,390.5,393.45,387.05,391.73,149752354.0,
49,2023-03-15 04:00:00,385.89,389.49,383.71,389.28,172784933.0,
50,2023-03-16 04:00:00,386.82,396.47,386.29,396.11,143667640.0,
51,2023-03-17 04:00:00,393.22,394.4,388.55,389.99,140350911.0,
52,2023-03-20 04:00:00,390.8,394.17,390.07,393.74,93055783.0,
53,2023-03-21 04:00:00,397.24,399.41,395.58,398.91,91439734.0,
54,2023-03-22 04:00:00,398.73,402.49,392.07,392.11,111699083.0,
55,2023-03-23 04:00:00,395.09,399.29,390.35,393.17,119243819.0,
56,2023-03-24 04:00:00,391.841,395.84,389.4,395.75,107397124.0,
57,2023-03-27 04:00:00,398.12,398.92,395.56,396.49,74010408.0,
58,2023-03-28 04:00:00,395.77,396.49,393.69,395.6,62871680.0,
59,2023-03-29 04:00:00,399.925,401.6,398.68,401.35,77497876.0,
60,2023-03-30 04:00:00,404.09,404.35,401.76,403.7,69726849.0,
61,2023-03-31 04:00:00,404.66,409.7,404.55,409.39,112024624.0,
62,2023-04-03 04:00:00,408.85,411.37,408.44,410.95,67331097.0,
63,2023-04-04 04:00:00,411.62,411.92,407.24,408.67,66526534.0,
64,2023-04-05 04:00:00,407.91,408.7,405.88,407.6,64855243.0,
65,2023-04-06 04:00:00,406.77,409.48,405.678,409.19,63743345.0,
66,2023-04-10 04:00:00,406.61,409.69,405.97,409.61,63681042.0,
67,2023-04-11 04:00:00,410.26,411.18,408.92,409.72,59297945.0,
68,2023-04-12 04:00:00,411.87,412.17,407.44,408.05,86413179.0,
